"時間軸（年次） コード","時間軸（年次） 補助コード","時間軸（年次）","男女 コード","男女 補助コード","男女","就業・通学 コード","就業・通学 補助コード","就業・通学","全国，都道府県（常住地） コード","全国，都道府県（常住地） 補助コード","全国，都道府県（常住地）","/全国［総数］，都道府県（従業地・通学地）","総数","北海道","青森県","岩手県","宮城県","秋田県","山形県","福島県","茨城県","栃木県","群馬県","埼玉県","千葉県","東京都","神奈川県","新潟県","富山県","石川県","福井県","山梨県","長野県","岐阜県","静岡県","愛知県","三重県","滋賀県","京都府","大阪府","兵庫県","奈良県","和歌山県","鳥取県","島根県","岡山県","広島県","山口県","徳島県","香川県","愛媛県","高知県","福岡県","佐賀県","長崎県","熊本県","大分県","宮崎県","鹿児島県","沖縄県","従業・通学市区町村「不詳・外国」","従業地・通学地「不詳」"
"2020000000","","2020年","0","","総数","0","","総数","32000","","島根県","","372,159","7","1","-","5","2","-","11","3","3","8","3","8","121","19","1","-","3","8","1","3","5","4","28","7","9","42","99","79","5","2","5,896","352,259","147","1,366","558","17","15","30","3","38","1","3","7","10","1","3","7","1,135","10,176"
"2020000000","","2020年","0","","総数","0","","総数","33000","","岡山県","","1,001,480","30","7","6","19","5","1","6","18","9","7","36","49","397","95","17","11","9","22","15","14","23","30","128","27","60","228","1,563","2,659","36","19","549","122","937,140","14,120","180","54","2,262","131","61","118","7","16","16","22","7","8","17","5,224","35,880"
"2020000000","","2020年","0","","総数","0","","総数","34000","","広島県","","1,537,965","34","8","5","24","8","3","32","29","8","10","56","76","776","173","14","6","12","29","13","14","33","45","149","43","54","183","696","481","19","21","209","1,043","13,115","1,443,044","6,521","47","165","1,202","47","416","29","36","41","31","16","20","21","9,312","59,596"
"2020000000","","2020年","0","","総数","0","","総数","35000","","山口県","","711,693","25","3","-","9","6","3","14","13","3","4","20","33","334","82","9","7","7","10","1","4","10","15","48","9","19","77","206","176","10","5","18","856","130","9,098","671,743","17","37","103","18","8,204","36","56","58","89","13","23","13","2,055","17,964"
"2020000000","","2020年","0","","総数","0","","総数","36000","","徳島県","","357,721","5","-","4","6","-","-","3","6","1","2","8","13","148","46","4","5","1","8","4","2","5","14","29","3","14","59","564","925","12","29","8","6","111","62","22","336,756","3,178","1,143","378","30","3","3","6","3","6","5","9","2,455","11,617"
"2020000000","","2020年","0","","総数","0","","総数","37000","","香川県","","503,900","15","3","1","12","-","-","6","17","1","4","17","31","237","60","11","3","11","23","4","7","7","12","51","15","24","138","808","480","15","12","7","13","2,223","192","29","1,578","474,711","2,501","243","49","4","8","13","18","4","3","6","2,564","17,709"
"2020000000","","2020年","0","","総数","0","","総数","38000","","愛媛県","","669,609","15","6","2","20","2","1","11","12","6","5","27","34","301","97","8","5","3","13","8","3","1","29","61","22","20","80","300","183","10","15","15","20","221","1,346","87","353","2,585","634,596","863","98","9","11","18","31","7","12","13","2,438","25,586"
"2020000000","","2020年","0","","総数","0","","総数","39000","","高知県","","337,222","13","2","1","26","1","-","2","7","3","2","16","70","198","35","2","2","2","12","3","8","8","13","35","13","18","58","200","123","16","7","8","8","96","75","21","463","406","944","316,884","32","3","3","6","11","4","34","6","1,839","15,483"
"2020000000","","2020年","0","","総数","0","","総数","40000","","福岡県","","2,663,511","101","8","23","50","6","5","37","69","13","27","103","181","1,644","326","26","24","33","36","10","20","31","176","339","64","52","216","664","275","33","24","23","55","176","623","5,761","38","72","109","23","2,456,700","34,014","1,328","9,478","8,572","308","581","191","21,203","119,640"
"2020000000","","2020年","0","","総数","0","","総数","41000","","佐賀県","","449,810","13","8","1","13","1","1","6","15","3","3","15","17","169","46","10","-","3","7","1","6","9","8","29","13","10","29","69","44","2","3","7","16","28","65","74","11","10","29","2","30,794","397,334","5,456","636","135","48","100","19","3,050","11,442"
"2020000000","","2020年","0","","総数","0","","総数","42000","","長崎県","","700,152","52","4","4","12","4","-","28","23","3","9","22","48","336","202","19","5","10","31","6","5","6","36","109","35","12","31","207","178","8","8","32","31","102","268","241","69","37","239","18","2,379","5,757","667,723","343","154","37","84","50","2,670","18,465"
"2020000000","","2020年","0","","総数","0","","総数","43000","","熊本県","","917,047","19","-","4","15","5","2","7","23","9","7","44","49","436","146","10","8","9","9","5","6","9","33","73","31","16","66","201","135","2","9","6","10","56","133","160","33","30","86","9","15,165","492","280","862,992","782","649","1,711","36","4,736","28,293"
"2020000000","","2020年","0","","総数","0","","総数","44000","","大分県","","591,024","13","1","2","8","3","-","6","10","6","2","23","25","216","69","3","5","6","8","3","5","6","17","36","31","5","34","98","72","6","4","7","7","57","103","154","22","26","102","8","9,209","146","91","717","563,519","295","62","19","1,721","14,036"
"2020000000","","2020年","0","","総数","0","","総数","45000","","宮崎県","","557,965","15","2","3","71","-","-","10","12","9","4","17","27","254","70","7","3","9","6","5","5","5","23","28","15","7","20","127","85","4","14","6","7","86","84","95","51","23","138","8","437","36","55","830","547","533,177","4,996","20","1,338","15,174"
"2020000000","","2020年","0","","総数","0","","総数","46000","","鹿児島県","","839,291","19","3","5","11","3","-","18","9","3","7","25","38","316","113","6","1","3","9","1","8","10","35","72","17","15","34","105","71","4","10","5","4","49","92","54","26","12","78","11","594","52","63","1,939","77","5,767","808,328","51","1,905","19,213"
"2020000000","","2020年","0","","総数","0","","総数","47000","","沖縄県","","732,196","21","8","3","10","3","4","13","13","7","8","49","73","408","116","8","2","13","9","5","10","23","17","91","24","12","18","105","48","5","3","6","5","22","33","23","19","15","18","6","164","9","29","27","24","13","37","663,024","6,706","60,887"
"2020000000","","2020年","0","","総数","1","","うち15歳以上通勤者・通学者","00000","","全国","","57,152,761","2,220,092","550,152","563,284","1,058,785","425,081","493,212","816,884","1,224,568","855,723","903,493","2,494,104","2,134,613","7,803,678","3,249,950","1,038,747","511,269","553,231","382,276","365,835","947,748","867,353","1,738,091","3,587,247","785,712","612,647","1,088,144","3,870,285","2,122,872","442,908","375,000","253,582","316,930","840,100","1,287,282","602,216","298,839","424,255","560,900","281,646","2,201,085","378,017","585,045","756,039","500,219","465,168","702,426","564,343","511,931","1,539,754"
"2020000000","","2020年","0","","総数","1","","うち15歳以上通勤者・通学者","01000","","北海道","","2,295,898","2,216,355","393","128","243","31","24","202","112","105","40","239","247","1,633","457","87","27","41","53","37","56","28","91","204","39","14","78","185","109","9","14","9","7","29","51","33","14","28","45","8","55","8","18","14","13","6","19","34","11,724","62,502"
"2020000000","","2020年","0","","総数","1","","うち15歳以上通勤者・通学者","02000","","青森県","","564,769","440","544,233","2,786","715","702","45","277","101","62","30","221","181","684","312","61","18","18","23","10","36","8","38","63","16","6","15","60","38","1","3","4","1","25","39","17","6","5","40","5","13","3","4","6","15","4","9","9","1,886","11,475"
"2020000000","","2020年","0","","総数","1","","うち15歳以上通勤者・通学者","03000","","岩手県","","577,069","123","3,645","553,423","5,893","569","82","251","82","45","15","173","155","614","240","31","13","9","5","16","19","8","46","39","31","3","13","61","32","1","2","-","-","41","52","14","14","16","57","3","19","1","10","9","17","1","8","5","2,436","8,727"
"2020000000","","2020年","0","","総数","1","","うち15歳以上通勤者・通学者","04000","","宮城県","","1,087,651","221","369","4,623","1,036,206","505","2,939","7,743","203","211","67","349","252","1,681","477","165","29","20","12","30","51","18","162","120","41","9","21","137","79","2","12","7","5","34","89","44","38","11","147","15","55","2","29","13","9","6","28","15","6,843","23,507"
"2020000000","","2020年","0","","総数","1","","うち15歳以上通勤者・通学者","05000","","秋田県","","435,087","50","656","1,196","950","422,259","628","148","25","21","22","85","58","294","109","73","4","9","2","3","9","7","18","23","5","7","11","15","12","1","1","-","2","2","10","3","4","2","10","1","7","-","2","2","1","1","2","3","1,311","7,023"
"2020000000","","2020年","0","","総数","1","","うち15歳以上通勤者・通学者","06000","","山形県","","507,266","68","34","105","4,766","357","487,712","1,085","62","56","35","117","98","476","155","672","8","22","6","19","14","4","34","19","2","3","10","17","15","-","3","1","1","1","8","3","2","1","4","1","7","1","2","3","4","-","2","5","2,176","9,070"
"2020000000","","2020年","0","","総数","1","","うち15歳以上通勤者・通学者","07000","","福島県","","840,511","62","78","121","6,540","45","634","797,525","4,060","2,356","174","501","288","1,531","423","562","12","13","10","20","48","9","62","48","16","6","17","44","37","2","2","1","4","5","10","11","4","3","7","1","9","2","5","4","5","2","5","10","4,723","20,454"
"2020000000","","2020年","0","","総数","1","","うち15歳以上通勤者・通学者","08000","","茨城県","","1,333,156","74","55","40","144","31","47","4,169","1,139,942","21,488","1,187","16,525","40,865","60,009","3,441","85","17","22","21","71","71","19","141","141","28","15","52","108","71","7","8","5","15","20","19","19","4","11","19","3","34","2","7","10","10","7","5","18","12,391","31,663"
"2020000000","","2020年","0","","総数","1","","うち15歳以上通勤者・通学者","09000","","栃木県","","902,183","37","20","28","198","21","50","1,693","18,642","799,307","23,617","11,523","1,241","15,261","1,656","92","8","14","12","40","103","10","88","70","28","12","23","77","24","12","3","3","2","9","6","2","2","1","5","4","18","6","4","8","3","3","4","9","6,200","21,984"
"2020000000","","2020年","0","","総数","1","","うち15歳以上通勤者・通学者","10000","","群馬県","","934,538","39","18","20","79","15","22","271","1,107","16,230","841,686","27,830","946","12,360","1,606","559","20","33","10","62","1,118","21","84","85","13","16","44","65","28","5","4","4","2","9","18","11","1","5","7","2","17","2","2","4","4","2","3","10","7,114","22,925"
"2020000000","","2020年","0","","総数","1","","うち15歳以上通勤者・通学者","11000","","埼玉県","","3,401,160","249","81","125","473","57","92","602","14,779","10,009","30,028","2,239,220","40,820","887,449","25,654","374","61","87","43","593","862","76","553","515","82","46","128","476","151","16","16","17","15","40","87","30","11","28","42","13","153","17","26","46","32","14","36","71","49,674","97,091"
"2020000000","","2020年","0","","総数","1","","うち15歳以上通勤者・通学者","12000","","千葉県","","2,866,455","251","68","82","273","42","43","423","34,265","994","842","40,097","1,951,207","688,878","23,916","185","56","46","37","185","248","44","439","472","76","46","119","536","172","18","22","11","15","55","90","58","20","34","36","21","184","17","36","39","26","9","29","75","36,777","84,841"
"2020000000","","2020年","0","","総数","1","","うち15歳以上通勤者・通学者","13000","","東京都","","5,830,735","564","133","173","709","139","156","794","7,622","2,783","2,286","140,318","81,723","5,057,207","235,576","494","124","155","84","3,805","949","172","2,018","1,456","156","120","495","1,476","450","70","51","33","51","128","268","79","38","69","72","55","425","39","83","93","115","45","77","148","74,278","212,381"
"2020000000","","2020年","0","","総数","1","","うち15歳以上通勤者・通学者","14000","","神奈川県","","4,181,300","334","103","134","488","79","92","482","2,403","1,386","1,098","12,882","13,576","1,026,828","2,936,799","277","77","86","61","1,922","462","123","10,193","1,143","159","100","276","945","331","49","32","23","32","94","195","105","36","56","66","21","336","31","52","68","50","39","59","97","47,989","119,031"
"2020000000","","2020年","0","","総数","1","","うち15歳以上通勤者・通学者","15000","","新潟県","","1,061,482","44","24","23","166","41","480","488","73","52","466","462","223","1,530","416","1,032,924","565","114","48","37","1,161","25","37","84","13","12","33","71","28","6","6","3","4","9","16","10","2","1","12","2","11","1","2","10","3","1","1","11","4,853","16,878"
"2020000000","","2020年","0","","総数","1","","うち15歳以上通勤者・通学者","16000","","富山県","","526,768","32","7","5","20","7","13","17","22","14","25","79","41","457","118","474","503,522","7,114","210","22","153","348","31","188","15","26","100","115","42","8","3","-","5","11","13","6","2","-","5","5","8","-","4","-","4","-","3","7","2,664","10,803"
